#           x             y             z             p           U_x           U_y           U_z
      -0.0625      -0.96875           0.5       102.409       35.8242       6.63526   -4.8104e-19
    -0.046875      -0.96875           0.5       102.823       35.8156       6.60207  -1.24487e-20
     -0.03125      -0.96875           0.5       103.164       35.8175       6.56189  -2.96879e-19
    -0.015625      -0.96875           0.5       103.676       35.8139       6.52013  -1.94688e-19
  9.51279e-16      -0.96875           0.5       104.055       35.8113       6.48247  -1.95477e-19
     0.015625      -0.96875           0.5       104.335       35.8087       6.44664  -5.04293e-19
      0.03125      -0.96875           0.5       104.602       35.8107       6.40968  -7.75718e-19
     0.046875      -0.96875           0.5       104.861       35.8127        6.3691  -2.08698e-19
       0.0625      -0.96875           0.5       105.137       35.8147        6.3302  -2.00967e-20
     0.078125      -0.96875           0.5       105.309        35.818       6.29179  -6.14038e-20
      0.09375      -0.96875           0.5       105.262       35.8201       6.25372  -2.19119e-19
     0.109375      -0.96875           0.5        105.22       35.8278       6.21933  -1.04958e-20
        0.125      -0.96875           0.5       105.274       35.8341       6.18318   1.81421e-19
     0.140625      -0.96875           0.5       105.329       35.8396       6.14831   1.30116e-19
      0.15625      -0.96875           0.5       105.327       35.8456       6.10879  -6.19211e-20
     0.171875      -0.96875           0.5       105.384       35.8521       6.07018  -4.47541e-21
       0.1875      -0.96875           0.5       105.264       35.8663       6.03611   4.04891e-20
     0.203125      -0.96875           0.5        104.78       35.8797       5.99603  -2.65548e-20
      0.21875      -0.96875           0.5       104.408       35.8955       5.95998   7.19088e-20
     0.234375      -0.96875           0.5       104.641       35.9021       5.92863  -1.69136e-19
         0.25      -0.96875           0.5       104.306       35.9183       5.89674  -8.68665e-20
     0.265625      -0.96875           0.5       103.892       35.9347       5.86172   1.07829e-19
      0.28125      -0.96875           0.5       103.452       35.9511        5.8297   5.91258e-19
     0.296875      -0.96875           0.5       103.028       35.9678       5.79658  -5.23371e-19
       0.3125      -0.96875           0.5       102.634       35.9853        5.7669   1.42726e-20
     0.328125      -0.96875           0.5       102.223       36.0031        5.7361   3.10953e-19
